J1,J2,J3
-0.088003,1.632627,1.197264
-0.837948,1.228528,0.892174
-1.239451,0.321353,0.204491
-1.123682,-0.710901,-0.582701
-0.537139,-1.436704,-1.139201
0.275740,-1.551051,-1.227102
0.973373,-1.003734,-0.806927
1.260900,-0.022548,-0.057210
1.015332,0.979624,0.703876
0.338730,1.577209,1.155469
-0.482774,1.513527,1.107424
-1.099241,0.813459,0.578009
-1.246533,-0.224967,-0.211506
-0.859928,-1.157728,-0.925005
-0.103372,-1.584575,-1.252885
0.698572,-1.320488,-1.049926
1.199659,-0.476567,-0.403559
1.182097,0.584941,0.404701
0.651620,1.404259,1.024942
-0.163031,1.623010,1.190012
-0.907429,1.143149,0.827617
-1.255832,0.172915,0.091601
-1.054319,-0.863443,-0.699454
-0.389320,-1.511381,-1.196601
0.447987,-1.485022,-1.176337
1.088278,-0.793552,-0.645947
1.247526,0.260264,0.158044
0.853465,1.210570,0.878598
0.079215,1.633375,1.197828
-0.731218,1.337373,0.974426
-1.215515,0.452999,0.304524
-1.155688,-0.624452,-0.516583
-0.576646,-1.411881,-1.120128
0.262834,-1.554651,-1.229871
0.984479,-0.986273,-0.793546
1.261301,0.039386,-0.010038
0.966335,1.059361,0.764229
0.231527,1.609110,1.179530
-0.609676,1.435282,1.048366
-1.173026,0.615189,0.427655
-1.199659,-0.476567,-0.403559
-0.675492,-1.339628,-1.064625
0.160302,-1.576937,-1.247010
0.922957,-1.077212,-0.863254
1.259410,-0.068255,-0.092034
1.012385,0.984721,0.707735
0.294507,1.591902,1.166552
-0.561418,1.467689,1.072830
-1.155908,0.667867,0.467620
-1.209916,-0.434232,-0.371223
-0.696278,-1.322431,-1.051419
0.145549,-1.579237,-1.248779
0.919573,-1.081833,-0.866798
1.259677,-0.061930,-0.087214
1.003451,0.999925,0.719244
0.270366,1.599008,1.171911
-0.592255,1.447375,1.057496
-1.173026,0.615189,0.427655
-1.193390,-0.500590,-0.421912
-0.641696,-1.366050,-1.084919
0.219070,-1.565523,-1.238232
0.975120,-1.001018,-0.804846
1.261052,0.058389,0.004431
0.937085,1.102436,0.796821
0.158118,1.623818,1.190622
-0.698572,1.366143,0.996157
-1.215515,0.452999,0.304524
-1.139244,-0.670523,-0.551815
-0.505059,-1.455284,-1.153480
0.377784,-1.516082,-1.200215
1.075547,-0.820695,-0.666724
1.243626,0.291552,0.181835
0.797304,1.272855,0.925678
-0.044579,1.635555,1.199472
-0.865149,1.196644,0.868070
-1.255832,0.172915,0.091601
-1.020532,-0.925911,-0.747298
-0.274666,-1.551357,-1.227338
0.609676,-1.389408,-1.102862
1.188495,-0.518523,-0.435614
1.169554,0.626309,0.436092
0.560432,1.468317,1.073303
-0.332893,1.579274,1.157027
-1.058229,0.900254,0.643771
-1.246533,-0.224967,-0.211506
-0.800286,-1.224362,-0.976133
0.055029,-1.588458,-1.255872
0.883005,-1.129558,-0.903397
1.258888,-0.079496,-0.100600
0.988252,1.024961,0.738195
0.208220,1.614396,1.183516
-0.680134,1.381555,1.007797
-1.217262,0.444849,0.298334
